id,created_at,source,original_text,clean_text,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1596163349443923968,Fri Nov 25 15:26:12 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @ragamceritaid: Momen @Cristiano menggandeng bocah Indonesia saat Portugal vs Ghana di Piala Dunia Qatar 2022

#Qatar2022 #PialaDunia202…",momen menggandeng bocah indonesia portugal vs ghana piala dunia qatar,in,0,1,teresianturi_,,Qatar2022,"ragamceritaid, Cristiano",,
1596162980483198976,Fri Nov 25 15:24:44 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","🛑 Link Live Streaming
25 NOVEMBER 2022

PIALA DUNIA/WORLD CUP
MATCH : BELANDA VS EKUADOR
Start : 23.00 WIB
Link Stream : https://t.co/YLvgG2Npcw

#PialaDunia2022 #pialadunia #PialaDuniaQatar2022 #PialaDuniaQatar #WorldcupQatar2022 #WorldcupQatar #WorldCup2022 #WorldCup #FIFA https://t.co/fexqqfeLj6",link live streaming november piala dunia world cupmatch belanda vs ekuadorstart wiblink stream,in,0,0,SulSulaimi,False,"PialaDunia2022, pialadunia, PialaDuniaQatar2022, PialaDuniaQatar, WorldcupQatar2022, WorldcupQatar, WorldCup2022, WorldCup, FIFA",,"Gresik, Indonesia",
1596162871347404800,Fri Nov 25 15:24:18 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Sport77Official: Fakmen Prediction untuk laga Ekuador kontra Belanda.

Belanda bakal pastikan tiket lolos malam ini?

#PialaDunia2022 #…",fakmen prediction laga ekuador kontra belanda belanda pastikan tiket lolos malam,in,0,1,Indostransfer,,PialaDunia2022,Sport77Official,Indonesia,
1596162809766694912,Fri Nov 25 15:24:03 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @itsme4yu8: Jadwal Piala Dunia - Fase Group 
Indonesia Time ! 

#WorldCup #FIFAWorldCup #PialaDunia2022 https://t.co/DRYHBmY8HT",jadwal piala dunia fase group indonesia time,in,0,1118,andamusasma,False,"WorldCup, FIFAWorldCup, PialaDunia2022",itsme4yu8,"Jakarta Selatan, DKI Jakarta",
1596161692337307649,Fri Nov 25 15:19:37 +0000 2022,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Satu gol Muntari tidak bisa membuat Qatar mengoleksi satu poin pun.
#PestadiQatar #PialaDunia2022 #PialaDunia 
https://t.co/iSYFo1o5cV",gol muntari tidak membuat qatar mengoleksi poin,in,0,0,idntimes,False,"PestadiQatar, PialaDunia2022, PialaDunia",,,
1596161304758464512,Fri Nov 25 15:18:04 +0000 2022,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Sebelum Ronaldo membuat gol bersejarah itu, ada momen yang menarik. Ternyata Ronaldo ditemani oleh anak asal Indonesia sebelum pertandingan dimulai. #EMTEKWORLDCUP2022 #BOLANETWORLDCUP2022 #PialaDunia #PialaDunia2022 https://t.co/ZsMKrCKj8d",ronaldo membuat gol bersejarah momen menarik ronaldo ditemani anak indonesia pertandingan dimulai,in,1,0,Bolanet,False,"EMTEKWORLDCUP2022, BOLANETWORLDCUP2022, PialaDunia, PialaDunia2022",,,
1596161074377543680,Fri Nov 25 15:17:10 +0000 2022,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Bonus d3po100% khusus SLOT game!!👍
join, main dan menang bareng TOTOGG88

🔥LINK GACOR : https://t.co/e9pscBDhtQ

#cewekviral #totogg88 #togelgacor #slottogel #TrendingNow #Trending #Viralkebayamerah #short #FYP #TiktokLive #slotgacor #gacor #PialaDunia2022 #Qatar #FIFAWorldCup https://t.co/Cr2gJkZLwA",bonus po slot game join main menang bareng totogg link gacor,in,0,0,totogg88,False,"cewekviral, totogg88, togelgacor, slottogel, TrendingNow, Trending, Viralkebayamerah, short, FYP, TiktokLive, slotgacor, gacor, PialaDunia2022, Qatar, FIFAWorldCup",,,
1596161069122084864,Fri Nov 25 15:17:08 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Qatar menjadi tim pertama yang tersingkir dari Piala Dunia 2022, usai
kalah dari Senegal 1-3.

Sayang sekali nasib Qatar 😔

#bolaskorcom #pialadunia #pialadunia2022 #qatar2022 #wc2022 #worldcup #worldcup2022 #qatar #senegal https://t.co/d4ITyCdyQO",qatar tim tersingkir piala dunia usaikalah senegal sayang nasib qatar,in,0,0,bolaskorcom,False,"bolaskorcom, pialadunia, pialadunia2022, qatar2022, wc2022, worldcup, worldcup2022, qatar, senegal",,Indonesia,
1596160946434904064,Fri Nov 25 15:16:39 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Qatar menjadi tim pertama yang tersingkir dari Piala Dunia 2022, Gini nih kalau lolos hasil dari Give Away sebagai tuan rumah.
""Qatar Beban Asia""
#FIFAWorldCup #PialaDunia2022 #Wordcup2022 https://t.co/OI0Il32BVj",qatar tim tersingkir piala dunia gini lolos hasil give away tuan rumah qatar beban asia,in,0,0,Titipan_Mafia,False,"FIFAWorldCup, PialaDunia2022, Wordcup2022",,South Wakanda.,
1596160793355382784,Fri Nov 25 15:16:03 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Qatar jalan kaki pulang ke rmahnya stlah hnya mmpu mmblas 1 goal lwan Senegal dgn skor 1-3. 
#GallesIran
#WorldcupQatar2022
#PialaDunia2022
#PenguasaPengkhianatRakyat https://t.co/5JY5e17A9A",qatar jalan kaki pulang rmahnya stlah mmpu mmblas goal lwan senegal skor,in,0,0,PenaPublik,False,"GallesIran, WorldcupQatar2022, PialaDunia2022, PenguasaPengkhianatRakyat",,Indonesia,
1596160617311674374,Fri Nov 25 15:15:21 +0000 2022,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","#BHsukan #PialaDunia2022 #Qatar2022 #WorldCup2022 #FIFA2022 Senegal bangkit daripada kekalahan pertama saingan Kumpulan A Piala Dunia 2022 dengan menewaskan Qatar 3-1 di Stadium Al Thumama

https://t.co/gAfsAf02mF",senegal bangkit kekalahan saingan kumpulan a piala dunia menewaskan qatar stadium al thumama,in,1,0,bharianmy,False,"BHsukan, PialaDunia2022, Qatar2022, WorldCup2022, FIFA2022",,Malaysia,
1596160499074596864,Fri Nov 25 15:14:52 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @RTM_Malaysia: 🆃🆁🅸🆅🅸🅰 🅵🅸🅵🅰 2022

PIALA DUNIA FIFA QATAR 2022

#PialaDunia2022 #QatarWorldCup2022 
#PialaDunia2022RTM 
#DariQatarKeMalays…",piala dunia fifa qatar,in,0,5,mrsyah_Fique,,"PialaDunia2022, QatarWorldCup2022, PialaDunia2022RTM",RTM_Malaysia,Dungun 🇲🇾,
1596159856167092225,Fri Nov 25 15:12:19 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Gaes ada yang tau ngga cara hilanginnya? ganggu banget

#PialaDunia2022 
#FIFAWorldCup
#Jepang 
#Brazil https://t.co/6NeJpPirAy",gaes tidak hilanginnya ganggu banget,in,0,0,Fahrii669,False,"PialaDunia2022, FIFAWorldCup, Jepang, Brazil",,,
1596159592286650369,Fri Nov 25 15:11:16 +0000 2022,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Hasil Piala Dunia Hari ini: Qatar vs Senegal – Wales vs Iran | Fifa Worl... https://t.co/g8aLlZctye lewat @YouTube 
TUAN RUMAH QATAR TERSINGKIR
Hasil Piala Dunia Qatar 2022 Hari ini Matchday 2 dan Klasemen Terbaru
Qatar vs Senegal
Wales vs Iran

#FIFAWorldCup 
#PialaDunia2022",hasil piala dunia qatar vs senegal wales vs iran fifa worl tuan rumah qatar tersingkirhasil piala dunia qatar matchday klasemen terbaruqatar vs senegalwales vs iran,in,1,0,BtgChannel,False,"FIFAWorldCup, PialaDunia2022",YouTube,Indonesia,
1596159443284021248,Fri Nov 25 15:10:41 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Takluk oleh Senegal, tuan rumah Qatar tersingkir dari Piala Dunia 2022

#FIFAWorldCup
#QAT #SEN
#Qatar2022
#PialaDunia2022

https://t.co/DusZaHmqqK",takluk senegal tuan rumah qatar tersingkir piala dunia,in,0,0,ganikn,False,"FIFAWorldCup, QAT, SEN, Qatar2022, PialaDunia2022",,Bandung,
